timestamp,gyro_x,gyro_y,gyro_z
2026-01-01T00:00:00.000Z,0.05,0.21,0.12
2026-01-01T00:00:00.100Z,0.08,0.18,0.15
2026-01-01T00:00:00.200Z,0.11,0.14,0.18
2026-01-01T00:00:00.300Z,0.15,0.08,0.20
2026-01-01T00:00:00.400Z,0.17,0.03,0.21
2026-01-01T00:00:00.500Z,0.18,-0.01,0.19
2026-01-01T00:00:00.600Z,0.16,-0.06,0.16
2026-01-01T00:00:00.700Z,0.13,-0.10,0.13
2026-01-01T00:00:00.800Z,0.09,-0.14,0.10
2026-01-01T00:00:00.900Z,0.06,-0.17,0.07
2026-01-01T00:00:01.000Z,0.02,-0.19,0.05
2026-01-01T00:00:01.100Z,-0.01,-0.20,0.03
