timestamp,acc_x,acc_y,acc_z
2026-01-01T00:00:00.100Z,0.10,0.82,9.69
2026-01-01T00:00:00.200Z,0.19,0.76,9.73
2026-01-01T00:00:00.300Z,0.31,0.63,9.77
2026-01-01T00:00:00.400Z,0.43,0.49,9.81
2026-01-01T00:00:00.500Z,0.51,0.30,9.84
2026-01-01T00:00:00.600Z,0.55,0.09,9.86
2026-01-01T00:00:00.700Z,0.53,-0.09,9.88
2026-01-01T00:00:00.800Z,0.44,-0.28,9.85
2026-01-01T00:00:00.900Z,0.32,-0.47,9.82
2026-01-01T00:00:01.000Z,0.18,-0.61,9.79
2026-01-01T00:00:01.100Z,0.04,-0.73,9.75
2026-01-01T00:00:01.200Z,-0.10,-0.80,9.71
